GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project1,orm.commands.table.alter,DropColumn,6,0,0,0,3,0,1,0,1,0
Project1,orm.commands.table.alter,Constraint,9,0,0,0,4,0,2,0,2,0
Project1,orm.commands.table.alter,Add,9,0,0,0,4,0,2,0,2,0
Project1,orm.commands.table.alter,Type,15,0,0,0,6,0,3,0,3,0
Project1,orm.exceptions,NullContentException,4,0,0,0,2,0,1,0,1,0
Project1,orm.exceptions,InvalidContentException,4,0,0,0,2,0,1,0,1,0
Project1,orm.exceptions,NullAttributeException,13,0,0,0,2,0,1,0,1,0
Project1,orm.exceptions,InvalidAttributeException,17,0,0,0,2,0,1,0,1,0
Project1,orm.exceptions,NullTagException,13,0,0,0,2,0,1,0,1,0
Project1,orm.exceptions,MultipleTagsException,13,0,0,0,2,0,1,0,1,0
Project1,orm.commands,Column,33,0,0,0,12,0,6,0,6,0
Project1,orm.commands,Table,73,0,0,0,30,0,19,0,19,0
Project1,orm.utility,FindValidFiles.new FilenameFilter() {...},10,0,0,0,2,0,2,0,2,0
Project1,orm.utility,FindValidFiles,189,0,10,0,40,0,9,0,4,0
Project1,orm.utility,Driver,42,0,2,0,13,0,3,0,2,0
Project1,orm.utility,XmlToJava,760,0,102,0,150,0,55,0,4,0
Project1,user.classes,CreateAnimal,33,0,0,0,12,0,2,0,2,0
Project1,user.classes,Animal,41,0,0,0,13,0,7,0,7,0
Project1,orm.dao,ReadProperties,73,0,2,0,17,0,3,0,2,0
Project1,orm.dao,DAOFactory,5,0,0,0,2,0,2,0,2,0
Project1,orm.dao,ConnectionSingleton,24,0,2,0,9,0,5,0,4,0
Project1,orm.dao,ConnectionPool,35,0,0,0,9,0,2,0,2,0
Project1,orm.commands.table,Drop,3,0,0,0,1,0,1,0,1,0
Project1,orm.commands.table,Update,3,0,0,0,1,0,1,0,1,0
Project1,orm.commands.table,Delete,3,0,0,0,1,0,1,0,1,0
Project1,orm.commands.table,Export,3,0,0,0,1,0,1,0,1,0
Project1,orm.commands.table,Insert,3,0,0,0,1,0,1,0,1,0
Project1,orm.commands.table,Alter,31,0,0,0,13,0,9,0,9,0
Project1,orm.commands.table,Create,9,0,0,0,4,0,2,0,2,0
